EDfile_name,index_events_code_start,index_events_code_end,failed/non_failed,update/non-update,id_target,id_update,bhvStat1,failed/non_failed,id_target,id_update,trial_mode,start_of_pre_cue,last_enter_to_target,cue_onset,go_signal,trial_jump,move_onset,in_periphery,end_of_hold,reward,end_of_trial
t5601ee.1.mat,135,136,1,2,2,NaN,45,2,2,NaN,380.9852,381.2444,381.5851,382.1496,382.9822,NaN,383.2338,383.4857,383.9045,383.6002,383.9079,383.2376
t5601ee.1.mat,137,138,1,2,3,NaN,46,2,3,NaN,385.0826,385.3385,386.2313,386.731,387.3806,NaN,387.7631,387.9645,388.387,388.0826,388.3905,387.712
t5601ee.1.mat,139,140,1,2,4,NaN,47,2,4,NaN,389.5651,389.8236,390.0119,390.5583,391.2935,NaN,391.5101,391.7795,392.1963,391.8924,392.1997,391.5413
t5601ee.1.mat,141,142,1,1,3,5,48,1,3,5,393.3756,393.6416,394.0923,394.6058,395.3395,395.4549,395.4774,396.008,395.4549,396.1222,396.4288,395.5508
t5601ee.1.mat,143,144,1,2,1,NaN,49,2,1,NaN,397.6024,397.864,398.5219,399.0682,399.9032,NaN,400.0034,400.171,401.2679,400.9681,401.2712,399.9532
t5601ee.1.mat,145,146,1,2,6,NaN,50,2,6,NaN,402.446,402.6942,403.0851,403.5992,404.2485,NaN,404.6163,404.8515,405.2683,404.965,405.2715,404.5802
t5601ee.1.mat,147,148,1,2,7,NaN,51,2,7,NaN,406.4459,406.7042,407.1976,407.7778,408.512,NaN,408.7289,409.0463,409.4648,409.1619,409.4683,408.7808
t5601ee.1.mat,149,150,1,2,3,NaN,52,2,3,NaN,410.643,410.9,411.462,412.0074,412.708,NaN,412.9927,413.2447,413.6611,413.3579,413.6646,413.0244
t5601ee.1.mat,151,152,1,1,7,5,53,1,7,5,414.8398,415.1026,415.591,416.0874,416.8384,416.8655,417.0565,417.4576,416.8655,417.5721,417.8801,417.2114
t5601ee.1.mat,153,154,0,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,155,156,1,2,5,NaN,54,2,5,NaN,422.6314,422.878,423.3349,423.8643,424.5979,NaN,424.6013,425.1671,425.5855,425.2823,425.5889,424.4923
t5601ee.1.mat,157,158,1,2,2,NaN,55,2,2,NaN,426.7633,427.0236,428.547,429.1101,429.7782,NaN,430.0117,430.3452,430.7639,430.4606,430.7672,430.0591
t5601ee.1.mat,159,160,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,161,162,1,1,7,8,56,1,7,8,435.5379,435.7961,436.1227,436.6374,437.3545,437.3805,437.6386,437.9229,437.3805,438.0385,438.3413,437.6384
t5601ee.1.mat,163,164,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,165,166,1,2,8,NaN,57,2,8,NaN,442.482,442.7337,443.2183,443.7647,444.515,NaN,444.6,444.934,445.3736,445.0489,445.3769,444.5717
t5601ee.1.mat,167,168,1,2,5,NaN,58,2,5,NaN,446.5509,446.8,454.9915,455.5553,456.289,NaN,456.773,456.9906,457.4097,457.1059,457.4136,456.7063
t5601ee.1.mat,169,170,1,2,6,NaN,59,2,6,NaN,458.5874,458.8342,459.3889,459.8853,460.7025,NaN,461.1031,461.3202,461.7389,461.4353,461.7425,461.0813
t5601ee.1.mat,171,172,1,1,6,2,60,1,6,2,462.9172,463.1677,463.4016,463.9812,464.6326,464.6598,464.9826,465.2346,464.6598,465.3494,465.6557,464.9642
t5601ee.1.mat,173,174,0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,175,176,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.2.mat,1,2,1,2,1,NaN,61,2,1,NaN,13.0613,13.3117,14.0379,14.5953,15.2809,NaN,15.5472,15.7471,16.2661,15.9627,16.2697,15.4613
t5601ee.2.mat,3,4,1,1,4,8,62,1,4,8,17.4434,17.7029,17.722,18.2934,19.0595,19.1416,19.4438,19.6617,19.1416,19.7762,20.0836,19.4204
t5601ee.2.mat,5,6,0,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.2.mat,7,8,0,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.2.mat,9,10,1,2,5,NaN,63,2,5,NaN,28.0345,28.2959,28.6703,29.201,30.0008,NaN,30.0052,30.4363,30.8545,30.5506,30.8572,30.2
t5601ee.2.mat,11,12,1,2,2,NaN,64,2,2,NaN,32.0298,32.2852,32.304,32.8475,33.6474,NaN,33.765,33.9833,34.4009,34.098,34.4043,33.7105
t5601ee.2.mat,13,14,1,1,5,5,65,1,5,5,35.5796,35.8393,36.1804,36.7273,37.445,37.5262,37.7453,37.9965,37.5262,38.112,38.4195,37.7483
t5601ee.2.mat,15,16,1,2,1,NaN,66,2,1,NaN,39.5951,39.8486,39.8943,40.4246,41.1244,NaN,41.4092,41.6764,42.0955,41.7917,42.0991,41.3636
t5601ee.2.mat,17,18,1,2,3,NaN,67,2,3,NaN,43.2739,43.5058,43.8743,44.454,45.2048,NaN,45.3889,45.69,46.1095,45.8062,46.1129,45.497
t5601ee.2.mat,19,20,1,2,6,NaN,68,2,6,NaN,47.286,47.5382,47.7883,48.3189,49.1018,NaN,49.2695,49.5715,49.9898,49.6859,49.993,49.3229
t5601ee.2.mat,21,22,1,2,7,NaN,69,2,7,NaN,51.1684,51.4298,51.8844,52.4149,53.1644,NaN,53.3825,53.6332,54.0531,53.7483,54.0563,53.3749
t5601ee.2.mat,23,24,1,1,1,6,70,1,1,6,55.2315,55.4842,55.8145,56.3775,57.1114,57.2604,57.2604,57.3964,57.2604,58.162,58.4687,57.1515
t5601ee.2.mat,25,26,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.2.mat,27,28,1,2,8,NaN,71,2,8,NaN,62.9553,63.2037,63.558,64.1215,64.9049,NaN,64.9331,65.2241,65.7461,65.4225,65.7497,64.9335
t5601ee.2.mat,29,30,1,2,5,NaN,72,2,5,NaN,66.9242,67.1743,67.5559,68.1014,68.7525,NaN,68.8536,69.2539,69.6716,69.3692,69.6749,69.0104
t5601ee.2.mat,31,32,1,2,6,NaN,73,2,6,NaN,70.8497,71.111,71.1404,71.7319,72.4824,NaN,72.7668,73.0844,73.5041,73.199,73.5074,72.7569
t5601ee.2.mat,33,34,1,1,3,1,74,1,3,1,74.6827,74.9209,75.265,75.7947,76.579,76.6776,76.6776,77.2307,76.6776,78.1955,78.503,76.9067
t5601ee.2.mat,35,36,1,2,4,NaN,75,2,4,NaN,79.6789,79.9386,79.9577,80.5085,81.2749,NaN,81.6926,81.8595,82.2775,81.9749,82.281,81.6395
t5601ee.2.mat,37,38,1,2,8,NaN,76,2,8,NaN,83.4556,83.7029,84.208,84.7375,85.4056,NaN,85.5058,85.8912,86.309,86.005,86.3126,85.6705
t5601ee.2.mat,39,40,1,2,1,NaN,77,2,1,NaN,87.488,87.7362,88.0379,88.6178,89.4514,NaN,89.5861,89.8202,90.2883,89.9849,90.2915,89.5158
t5601ee.2.mat,41,42,1,2,3,NaN,78,2,3,NaN,91.4662,91.7232,91.7425,92.3154,93.101,NaN,93.3832,93.584,94.0018,93.6989,94.0052,93.3344
t5601ee.2.mat,43,44,1,1,8,5,79,1,8,5,95.1801,95.4384,95.4749,96.0289,96.6788,96.7778,96.7778,96.9808,96.7778,99.3313,99.6343,96.7289
t5601ee.2.mat,45,46,1,2,7,NaN,80,2,7,NaN,100.8083,101.0565,101.0753,101.6075,102.4421,NaN,102.4911,102.8757,103.2943,102.991,103.298,102.4735
t5601ee.2.mat,47,48,1,2,2,NaN,81,2,2,NaN,104.4725,104.7251,105.407,105.9874,106.6385,NaN,106.9216,107.2053,107.6231,107.3208,107.6262,106.9904
t5601ee.3.mat,1,2,1,2,1,NaN,82,2,1,NaN,10.3429,10.5932,11.0397,11.5701,12.2363,NaN,12.4876,12.6606,13.078,12.7738,13.0812,12.4221
t5601ee.3.mat,3,4,1,2,2,NaN,83,2,2,NaN,14.2568,14.522,15.1697,15.6988,16.5168,NaN,16.634,17.0347,17.453,17.1497,17.4564,16.8128
t5601ee.3.mat,5,6,1,2,8,NaN,84,2,8,NaN,18.6316,18.8789,19.3323,19.8956,20.6645,NaN,20.8137,21.1312,21.5501,21.2462,21.5535,20.8856
t5601ee.3.mat,7,8,0,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,9,10,1,1,2,6,85,1,2,6,25.7405,25.9844,26.3267,26.9065,27.5249,27.6724,27.6767,27.8426,27.6724,28.4572,28.7646,27.6085
t5601ee.3.mat,11,12,0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,13,14,1,2,6,NaN,86,2,6,NaN,32.5896,32.8464,33.2043,33.7011,34.3516,NaN,34.7028,34.8706,35.4885,35.1853,35.492,34.6621
t5601ee.3.mat,15,16,1,2,7,NaN,87,2,7,NaN,36.666,36.9284,37.151,37.6976,38.4824,NaN,38.8323,39.0169,39.4363,39.1322,39.4397,38.7986
t5601ee.3.mat,17,18,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,19,20,0,1,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,21,22,1,2,2,NaN,88,2,2,NaN,47.2013,47.4617,47.8423,48.4056,49.239,NaN,49.5235,49.7746,50.1928,49.8895,50.1962,49.5426
t5601ee.3.mat,23,24,1,2,8,NaN,89,2,8,NaN,51.3696,51.6325,52.5553,53.0854,53.7858,NaN,54.0869,54.2891,54.706,54.4026,54.7097,54.0494
t5601ee.3.mat,25,26,1,2,1,NaN,90,2,1,NaN,55.8833,56.1473,56.3928,56.9518,57.5658,NaN,58.017,58.1174,58.6038,58.2996,58.6071,57.9328
t5601ee.3.mat,27,28,1,2,4,NaN,91,2,4,NaN,59.7817,60.0295,60.5166,61.0953,61.8793,NaN,62.2631,62.4305,62.8506,62.5457,62.8538,62.2143
t5601ee.3.mat,29,30,0,1,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.3.mat,31,32,1,2,6,NaN,92,2,6,NaN,67.1378,67.3881,67.726,68.2723,69.0927,NaN,69.2072,69.5743,69.9937,69.6897,69.997,69.3233
t5601ee.3.mat,33,34,1,2,7,NaN,93,2,7,NaN,71.1724,71.4266,71.7563,72.2528,72.9706,NaN,73.3044,73.5059,73.9248,73.6206,73.9281,73.2798
t5601ee.3.mat,35,36,1,2,5,NaN,94,2,5,NaN,75.1014,75.3599,75.7029,76.2999,76.933,NaN,77.2851,77.4683,77.8865,77.5836,77.89,77.2209
t5601ee.3.mat,37,38,1,2,3,NaN,95,2,3,NaN,79.064,79.3154,79.7328,80.3296,81.0635,NaN,81.2977,81.6333,82.0495,81.7464,82.0529,81.4086
t5601ee.3.mat,39,40,1,1,8,6,96,1,8,6,83.2275,83.4779,83.5298,84.0267,84.8273,84.854,85.0605,85.4624,84.854,85.5767,85.884,85.2377
t5601ee.3.mat,41,42,1,2,4,NaN,97,2,4,NaN,87.0594,87.317,88.0261,88.5396,89.2562,NaN,89.3241,89.8415,90.2606,89.9566,90.2637,89.6156
t5601ee.3.mat,43,44,0,2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
