EDFile,plxMergeEDFiles,KiloMergedEDFiles,ED_trial,Video_trial,Success
t5601ee.11,,t5601ee.11,31,624,0
t5601ee.11,,t5601ee.11,32,625,1
t5601ee.11,,t5601ee.11,33,626,0
t5601ee.11,,t5601ee.11,34,627,1
t5601ee.11,,t5601ee.11,35,628,1
t5601ee.11,,t5601ee.11,36,629,0
t5601ee.11,,t5601ee.11,37,630,1
t5601ee.11,,t5601ee.11,38,631,1
t5601ee.11,,t5601ee.11,39,632,1
t5601ee.11,,t5601ee.11,40,633,1
t5601ee.11,,t5601ee.11,41,634,0
t5601ee.11,,t5601ee.11,42,635,1
t5601ee.11,,t5601ee.11,43,636,1
t5601ee.11,,t5601ee.11,44,637,1
t5601ee.11,,t5601ee.11,45,638,1
t5601ee.11,,t5601ee.11,46,639,0
t5601ee.11,,t5601ee.11,47,640,0
t5601ee.11,,t5601ee.11,48,641,0
t5601ee.11,,t5601ee.11,49,642,0
t5601ee.11,,t5601ee.11,50,NaN,0
t5601ee.11,,t5601ee.11,51,643,0
t5601ee.11,,t5601ee.11,52,644,1
t5601ee.11,,t5601ee.11,53,645,1
t5601ee.11,,t5601ee.11,54,646,1
t5601ee.11,,t5601ee.11,55,647,1
t5601ee.11,,t5601ee.11,56,648,1
t5601ee.11,,t5601ee.11,57,649,1
t5601ee.11,,t5601ee.11,58,650,1
t5601ee.11,,t5601ee.11,59,651,1
t5601ee.11,,t5601ee.11,60,652,1
t5601ee.11,,t5601ee.11,61,653,1
t5601ee.11,,t5601ee.11,62,654,1
t5601ee.11,,t5601ee.11,63,655,1
t5601ee.11,,t5601ee.11,64,656,1
t5601ee.11,,t5601ee.11,65,657,1
t5601ee.11,,t5601ee.11,66,658,1
t5601ee.11,,t5601ee.11,67,659,1
t5601ee.11,,t5601ee.11,68,660,0
t5601ee.11,,t5601ee.11,69,661,0
t5601ee.11,,t5601ee.11,70,662,1
t5601ee.11,,t5601ee.11,71,663,1
t5601ee.11,,t5601ee.11,72,664,1
t5601ee.11,,t5601ee.11,73,665,1
t5601ee.11,,t5601ee.11,74,666,1
t5601ee.11,,t5601ee.11,75,667,0
t5601ee.11,,t5601ee.11,76,668,0
t5601ee.11,,t5601ee.11,77,669,1
t5601ee.11,,t5601ee.11,78,670,1
t5601ee.11,,t5601ee.11,79,671,0
t5601ee.11,,t5601ee.11,80,NaN,0
t5601ee.12,,t5601ee.12,1,672,1
t5601ee.12,,t5601ee.12,2,673,1
t5601ee.12,,t5601ee.12,3,674,1
t5601ee.12,,t5601ee.12,4,675,1
t5601ee.12,,t5601ee.12,5,676,0
t5601ee.12,,t5601ee.12,6,677,1
t5601ee.12,,t5601ee.12,7,678,1
t5601ee.12,,t5601ee.12,8,679,0
t5601ee.12,,t5601ee.12,9,680,1
t5601ee.12,,t5601ee.12,10,681,1
t5601ee.12,,t5601ee.12,11,682,1
t5601ee.12,,t5601ee.12,12,683,1
t5601ee.12,,t5601ee.12,13,684,1
t5601ee.12,,t5601ee.12,14,685,1
t5601ee.12,,t5601ee.12,15,686,1
t5601ee.12,,t5601ee.12,16,687,1
t5601ee.12,,t5601ee.12,17,688,1
t5601ee.12,,t5601ee.12,18,689,1
t5601ee.12,,t5601ee.12,19,690,1
t5601ee.12,,t5601ee.12,20,691,1
t5601ee.12,,t5601ee.12,21,692,1
t5601ee.12,,t5601ee.12,22,693,1
t5601ee.12,,t5601ee.12,23,694,0
t5601ee.12,,t5601ee.12,24,NaN,0
t5601ee.13,,t5601ee.13,1,695,1
t5601ee.13,,t5601ee.13,2,696,1
t5601ee.13,,t5601ee.13,3,697,1
t5601ee.13,,t5601ee.13,4,698,1
t5601ee.13,,t5601ee.13,5,699,1
t5601ee.13,,t5601ee.13,6,700,1
t5601ee.13,,t5601ee.13,7,701,1
t5601ee.13,,t5601ee.13,8,702,0
t5601ee.13,,t5601ee.13,9,703,1
t5601ee.13,,t5601ee.13,10,704,1
t5601ee.13,,t5601ee.13,11,705,1
t5601ee.13,,t5601ee.13,12,706,1
t5601ee.13,,t5601ee.13,13,707,1
t5601ee.13,,t5601ee.13,14,708,1
t5601ee.13,,t5601ee.13,15,709,0
t5601ee.13,,t5601ee.13,16,710,1
t5601ee.13,,t5601ee.13,17,711,1
t5601ee.13,,t5601ee.13,18,712,1
t5601ee.13,,t5601ee.13,19,713,0
t5601ee.13,,t5601ee.13,20,714,1
t5601ee.13,,t5601ee.13,21,715,1
t5601ee.13,,t5601ee.13,22,716,1
t5601ee.13,,t5601ee.13,23,717,1
t5601ee.13,,t5601ee.13,24,718,0
t5601ee.13,,t5601ee.13,25,NaN,0
t5601ee.14,,t5601ee.14,1,719,1
t5601ee.14,,t5601ee.14,2,720,1
t5601ee.14,,t5601ee.14,3,721,1
t5601ee.14,,t5601ee.14,4,722,1
t5601ee.14,,t5601ee.14,5,723,1
t5601ee.14,,t5601ee.14,6,724,1
t5601ee.14,,t5601ee.14,7,725,1
t5601ee.14,,t5601ee.14,8,726,1
t5601ee.14,,t5601ee.14,9,727,1
t5601ee.14,,t5601ee.14,10,728,1
t5601ee.14,,t5601ee.14,11,729,1
t5601ee.14,,t5601ee.14,12,730,0
t5601ee.14,,t5601ee.14,13,731,1
t5601ee.14,,t5601ee.14,14,732,1
t5601ee.14,,t5601ee.14,15,733,1
t5601ee.14,,t5601ee.14,16,734,1
t5601ee.14,,t5601ee.14,17,735,0
t5601ee.14,,t5601ee.14,18,736,1
t5601ee.14,,t5601ee.14,19,737,1
t5601ee.14,,t5601ee.14,20,738,1
t5601ee.14,,t5601ee.14,21,739,1
t5601ee.14,,t5601ee.14,22,740,1
t5601ee.14,,t5601ee.14,23,741,0
t5601ee.14,,t5601ee.14,24,742,1
t5601ee.14,,t5601ee.14,25,743,1
t5601ee.14,,t5601ee.14,26,744,1
t5601ee.14,,t5601ee.14,27,745,1
t5601ee.14,,t5601ee.14,28,746,1
t5601ee.14,,t5601ee.14,29,747,1
t5601ee.14,,t5601ee.14,30,748,1
t5601ee.14,,t5601ee.14,31,749,1
t5601ee.14,,t5601ee.14,32,750,0
t5601ee.14,,t5601ee.14,33,751,1
t5601ee.14,,t5601ee.14,34,752,0
t5601ee.14,,t5601ee.14,35,753,1
t5601ee.14,,t5601ee.14,36,754,1
t5601ee.14,,t5601ee.14,37,755,1
t5601ee.14,,t5601ee.14,38,756,0
t5601ee.14,,t5601ee.14,39,757,1
t5601ee.14,,t5601ee.14,40,758,1
t5601ee.14,,t5601ee.14,41,759,0
t5601ee.14,,t5601ee.14,42,760,0
t5601ee.14,,t5601ee.14,43,761,0
t5601ee.14,,t5601ee.14,44,762,1
t5601ee.14,,t5601ee.14,45,763,1
t5601ee.14,,t5601ee.14,46,764,1
t5601ee.14,,t5601ee.14,47,765,0
t5601ee.14,,t5601ee.14,48,766,0
t5601ee.14,,t5601ee.14,49,767,0
t5601ee.14,,t5601ee.14,50,768,0
t5601ee.14,,t5601ee.14,51,769,1
t5601ee.14,,t5601ee.14,52,770,1
t5601ee.14,,t5601ee.14,53,771,1
t5601ee.14,,t5601ee.14,54,772,1
t5601ee.14,,t5601ee.14,55,773,1
t5601ee.14,,t5601ee.14,56,774,0
t5601ee.14,,t5601ee.14,57,775,1
t5601ee.14,,t5601ee.14,58,776,0
t5601ee.14,,t5601ee.14,59,777,1
t5601ee.14,,t5601ee.14,60,778,0
t5601ee.14,,t5601ee.14,61,779,1
t5601ee.14,,t5601ee.14,62,780,1
t5601ee.14,,t5601ee.14,63,781,1
t5601ee.14,,t5601ee.14,64,782,1
t5601ee.14,,t5601ee.14,65,783,0
t5601ee.14,,t5601ee.14,66,784,0
t5601ee.14,,t5601ee.14,67,785,1
t5601ee.14,,t5601ee.14,68,786,1
t5601ee.14,,t5601ee.14,69,787,1
t5601ee.14,,t5601ee.14,70,788,1
t5601ee.14,,t5601ee.14,71,789,1
t5601ee.14,,t5601ee.14,72,790,0
t5601ee.14,,t5601ee.14,73,791,1
t5601ee.14,,t5601ee.14,74,792,0
t5601ee.14,,t5601ee.14,75,793,1
t5601ee.14,,t5601ee.14,76,794,1
t5601ee.14,,t5601ee.14,77,795,1
t5601ee.14,,t5601ee.14,78,796,0
t5601ee.14,,t5601ee.14,79,797,0
t5601ee.14,,t5601ee.14,80,798,1
t5601ee.14,,t5601ee.14,81,799,0
t5601ee.14,,t5601ee.14,82,800,0
t5601ee.14,,t5601ee.14,83,801,1
t5601ee.14,,t5601ee.14,84,802,0
t5601ee.14,,t5601ee.14,85,803,1
t5601ee.14,,t5601ee.14,86,804,0
t5601ee.14,,t5601ee.14,87,NaN,0
t5601ee.15,,t5601ee.15,1,805,0
t5601ee.15,,t5601ee.15,2,806,1
t5601ee.15,,t5601ee.15,3,807,1
t5601ee.15,,t5601ee.15,4,808,1
t5601ee.15,,t5601ee.15,5,809,1
t5601ee.15,,t5601ee.15,6,810,0
t5601ee.15,,t5601ee.15,7,811,1
t5601ee.15,,t5601ee.15,8,812,1
t5601ee.15,,t5601ee.15,9,813,1
t5601ee.15,,t5601ee.15,10,814,1
t5601ee.15,,t5601ee.15,11,815,0
t5601ee.15,,t5601ee.15,12,816,1
t5601ee.15,,t5601ee.15,13,817,1
t5601ee.15,,t5601ee.15,14,818,0
t5601ee.15,,t5601ee.15,15,819,1
t5601ee.15,,t5601ee.15,16,820,1
t5601ee.15,,t5601ee.15,17,821,1
t5601ee.15,,t5601ee.15,18,822,1
t5601ee.15,,t5601ee.15,19,823,1
t5601ee.15,,t5601ee.15,20,824,0
t5601ee.15,,t5601ee.15,21,825,1
t5601ee.15,,t5601ee.15,22,826,1
t5601ee.15,,t5601ee.15,23,827,1
t5601ee.15,,t5601ee.15,24,828,1
t5601ee.15,,t5601ee.15,25,829,0
t5601ee.15,,t5601ee.15,26,830,1
t5601ee.15,,t5601ee.15,27,831,1
t5601ee.15,,t5601ee.15,28,832,1
t5601ee.15,,t5601ee.15,29,833,1
t5601ee.15,,t5601ee.15,30,834,1
t5601ee.15,,t5601ee.15,31,835,1
t5601ee.15,,t5601ee.15,32,836,1
t5601ee.15,,t5601ee.15,33,837,1
t5601ee.15,,t5601ee.15,34,838,1
t5601ee.15,,t5601ee.15,35,839,0
t5601ee.15,,t5601ee.15,36,840,1
t5601ee.15,,t5601ee.15,37,841,1
t5601ee.15,,t5601ee.15,38,842,0
t5601ee.15,,t5601ee.15,39,843,1
t5601ee.15,,t5601ee.15,40,844,1
t5601ee.15,,t5601ee.15,41,845,1
t5601ee.15,,t5601ee.15,42,846,1
t5601ee.15,,t5601ee.15,43,847,1
t5601ee.15,,t5601ee.15,44,848,0
t5601ee.15,,t5601ee.15,45,849,1
t5601ee.15,,t5601ee.15,46,850,1
t5601ee.15,,t5601ee.15,47,851,0
t5601ee.15,,t5601ee.15,48,852,0
t5601ee.15,,t5601ee.15,49,853,1
t5601ee.15,,t5601ee.15,50,854,1
t5601ee.15,,t5601ee.15,51,855,0
t5601ee.15,,t5601ee.15,52,856,1
t5601ee.15,,t5601ee.15,53,857,0
t5601ee.15,,t5601ee.15,54,858,0
t5601ee.15,,t5601ee.15,55,859,0
t5601ee.15,,t5601ee.15,56,860,0
t5601ee.15,,t5601ee.15,57,861,1
t5601ee.15,,t5601ee.15,58,862,1
t5601ee.15,,t5601ee.15,59,863,1
t5601ee.15,,t5601ee.15,60,864,1
