id,recording_day,file_number,trial_number_in_file,start_move_in_seconds,stop_turn_in_seconds
852,32,2,45,1.4880692817983034,
853,32,2,46,1.1247215210659267,
854,32,2,47,1.2603768844993346,
855,32,2,48,1.3497964678048848,
856,32,2,49,0.7766847241018564,
861,32,3,4,1.6166186309051522,
863,32,3,6,0.8712263987824322,
864,32,3,7,0.9535555759656404,
869,32,3,12,1.1406753668460223,
870,32,3,13,1.2332396894464552,
871,32,3,14,0.833213654714825,1.2897984249472605
872,32,3,15,1.333976461606029,
873,32,3,16,0.86260832143955,
875,32,3,18,1.160697913910147,
876,32,3,19,1.088161449753112,1.3871067219370523
877,32,3,20,0.8964818922847457,
878,32,3,21,0.813436298277978,
880,32,3,23,1.2273107717216047,
881,32,3,24,1.2239255622413747,1.6492428017508987
882,32,3,25,1.0695244820001728,
883,32,3,26,1.2580357106877942,
884,32,3,27,1.1525295265756514,
885,32,3,28,0.9241086882574862,
886,32,3,29,0.8752608441229927,1.2594750021865966
887,32,3,30,0.8635076234980631,
888,32,3,31,1.1351308989209101,
890,32,3,33,0.9703135468167937,
891,32,3,34,1.4689821197593287,1.7936658199417648
892,32,3,35,1.0416694615948199,
894,32,3,37,1.1043681548356865,
896,32,3,39,1.1336160239811284,1.5598591338083136
897,32,3,40,0.8374546727868997,
898,32,3,41,0.808719774173484,
900,32,3,43,1.3354963941574118,
901,32,3,44,1.0916389544510656,1.4084800401210602
903,32,3,46,1.2047028559516275,
904,32,3,47,0.7661966938895103,
905,32,3,48,0.9245026404763671,
907,32,3,50,1.2551301805972859,
908,32,3,51,0.8717522611886299,
909,32,3,52,0.8024926339721692,
910,32,3,53,0.8354514795213764,
912,32,3,55,0.8021245600093878,
913,32,3,56,0.8118603119838353,
914,32,3,57,0.8717079375406974,
915,32,3,58,0.9897232732270512,
916,32,3,59,0.7969607086942295,1.2277677790990444
917,32,3,60,0.7439499202176768,
918,32,3,61,0.8343007367759988,
919,32,3,62,1.0104540137082432,
920,32,3,63,1.158717447221298,
922,32,3,65,0.7626044709455893,
923,32,3,66,0.7670849905607147,
924,32,3,67,0.8944334829711894,
925,32,3,68,0.9414682783371746,
926,32,3,69,0.8172094308972383,1.1391185971522306
927,32,3,70,0.9170026446075524,
928,32,3,71,0.7585152145922257,
929,32,3,72,0.7362665348958899,
930,32,3,73,0.7526916767239633,
931,32,3,74,0.9191393796593359,1.234679581248793
933,32,3,76,1.2276164910125522,
934,32,3,77,0.8626346327084441,
936,32,3,79,1.2132049218831888,1.6277040182211924
937,32,3,80,1.0618357618529581,
938,32,3,81,0.7624751119187986,
939,32,3,82,0.8695578548829416,
940,32,3,83,0.8033459224006096,
941,32,3,84,1.1354659732419248,1.5587366190969976
942,32,3,85,1.6694131339977534,
943,32,3,86,1.7033562449848747,
944,32,3,87,0.8043458238158978,
945,32,3,88,0.7532160761517048,
946,32,3,89,0.9738091241386211,
947,32,3,90,1.3759278590092467,
949,32,3,92,1.5107245358180876,
950,32,3,93,1.258686251230672,
951,32,3,94,1.2350211441740115,1.4956718162357558
952,32,3,95,1.6112038279499235,
953,32,3,96,1.284316410048327,
954,32,3,97,1.296776687627448,
955,32,3,98,1.5825193364841137,
956,32,3,99,0.7596099509528115,
957,32,3,100,0.8711958003993624,
958,32,3,101,1.376808626456253,
959,32,3,102,0.9137722709108892,
960,32,3,103,1.0481020349425523,
961,32,3,104,1.1787697067833087,1.6448071576881522
962,32,3,105,1.6255132757724498,
963,32,3,106,1.355112856397664,
965,32,3,108,1.2718697532585188,
966,32,3,109,1.0262203403317838,1.308285830159181
967,32,3,110,0.8713141374888356,
968,32,3,111,1.0578750079554196,
970,32,3,113,0.8762895192432102,
971,32,3,114,0.8915891223315318,1.0979189754218015
972,32,3,115,0.7942275117066343,
973,32,3,116,1.4392606360880937,
974,32,3,117,0.8208776328248221,
976,32,3,119,1.1934005189806471,1.555501484195916
977,32,3,120,1.0887195734316049,
978,32,3,121,0.7794683211582889,
979,32,3,122,0.7782231939889734,
980,32,3,123,1.0477230776670738,
983,32,4,2,5.088498625420333,
984,32,4,3,0.8238640456443276,1.2565119254708284
986,32,4,5,1.4458719853508515,
987,32,4,6,0.914273388136925,
988,32,4,7,0.8643615151578155,
989,32,4,8,0.7605524913024895,1.1905275837135292
990,32,4,9,1.188522150379418,
991,32,4,10,0.7767792350214718,
992,32,4,11,0.8244791360709057,
993,32,4,12,0.8787249046491842,
994,32,4,13,1.157036509306431,1.5003136701297781
997,32,4,16,1.27858345707416,
998,32,4,17,0.8942446407447128,
999,32,4,18,0.8622650870575124,1.2682660596335045
1001,32,4,20,1.167405412575303,
1003,32,4,22,1.3146658217105238,
1004,32,4,23,0.810041525673867,
1005,32,4,24,0.8069817615740803,
1006,32,4,25,1.4034195398361253,
1008,32,4,27,1.1479317761766912,
1009,32,4,28,0.9033760889992102,1.1786537079155424
1010,32,4,29,1.3383987011656193,
1011,32,4,30,0.7931804462593773,
1012,32,4,31,1.2255188403725583,
1014,32,4,33,1.0694804219371137,1.3457721133816278
1016,32,4,35,1.127051442705986,
1017,32,4,36,0.773999928070316,
1018,32,4,37,1.1444481557585318,
